,subject_id,Week,Date,Score
0,AA06,1,2018-08-27,35
1,AA06,4,2018-09-10,4
2,AA06,5,2018-09-18,2
3,AA06,5,2018-09-19,1
4,AA06,6,2018-09-20,1
5,AA06,6,2018-09-21,2
6,AA06,6,2018-09-24,3
7,AA06,7,2018-09-25,1
8,AA06,7,2018-09-26,5
9,AA06,7,2018-09-27,10
10,AA06,7,2018-09-28,6
11,AA06,0,2018-08-21,34
12,AA06,0,2018-08-22,31
13,AA06,1,2018-08-27,35
14,A17,0,2018-07-31,1
15,A17,0,2018-08-01,0
16,A17,0,2018-08-02,0
17,A17,0,2018-08-03,0
18,A17,4,2018-08-21,0
19,A17,5,2018-08-27,0
20,A17,5,2018-08-27,0
21,A17,5,2018-08-28,0
22,A17,5,2018-08-29,0
23,A17,6,2018-08-30,0
24,A17,6,2018-08-31,0
25,A17,7,2018-09-04,0
26,A17,7,2018-09-05,0
27,A17,7,2018-09-06,0
28,A17,7,2018-09-07,0
29,A17,8,2018-09-10,0
30,A17,8,2018-09-11,0
31,A17,8,2018-09-12,0
32,A17,8,2018-09-13,0
33,A17,9,2018-09-14,0
34,A17,9,2018-09-17,0
35,A17,9,2018-09-18,0
36,A17,10,2018-09-19,0
37,A17,10,2018-09-20,0
38,A17,10,2018-09-21,0
39,B06,1,2018-08-27,40
40,B06,4,2018-09-10,0
41,B06,5,2018-09-18,3
42,B06,5,2018-09-19,5
43,B06,6,2018-09-20,10
44,B06,6,2018-09-21,6
45,B06,6,2018-09-24,2
46,B06,7,2018-09-25,0
47,B06,7,2018-09-26,7
48,B06,7,2018-09-27,9
49,B06,7,2018-09-28,5
50,B06,0,2018-08-21,50
51,B06,0,2018-08-22,43
52,B04,0,2018-08-21,30
53,B04,0,2018-08-22,30
54,B04,1,2018-08-27,30
55,B04,4,2018-09-10,7
56,B04,5,2018-09-18,3
57,B04,5,2018-09-19,2
58,B04,6,2018-09-20,5
59,B04,6,2018-09-21,8
60,B04,6,2018-09-24,10
61,B04,7,2018-09-25,13
62,B04,7,2018-09-26,0
63,B04,7,2018-09-27,10
64,B04,7,2018-09-28,7
65,A09,0,2018-06-20,39
66,A09,0,2018-06-21,35
67,A09,3,2018-07-09,0
68,A09,4,2018-07-11,0
69,A09,5,2018-07-16,0
70,A09,5,2018-07-17,0
71,A09,5,2018-07-18,0
72,A09,5,2018-07-19,0
73,A09,6,2018-07-20,0
74,A09,6,2018-07-23,0
75,A09,6,2018-07-24,0
76,A09,7,2018-07-25,0
77,A09,7,2018-07-26,0
78,A09,7,2018-07-27,0
79,A09,8,2018-07-30,0
80,A09,8,2018-07-31,0
81,A09,8,2018-08-01,0
82,A09,8,2018-08-02,0
83,A09,8,2018-08-03,0
84,A09,9,2018-08-07,0
85,A08,0,2018-06-20,59
86,A08,0,2018-06-21,58
87,A08,3,2018-07-09,3
88,A08,4,2018-07-10,2
89,A08,4,2018-07-12,3
90,A08,5,2018-07-16,0
91,A08,5,2018-07-17,0
92,A08,5,2018-07-18,0
93,A08,5,2018-07-19,0
94,A08,6,2018-07-20,0
95,A08,6,2018-07-23,0
96,A08,6,2018-07-24,0
97,A08,7,2018-07-25,0
98,A08,7,2018-07-26,0
99,A08,7,2018-07-27,0
100,A08,8,2018-07-30,5
101,A08,8,2018-07-31,8
102,A08,8,2018-08-01,7
103,A08,8,2018-08-02,9
104,A08,8,2018-08-03,4
105,A08,9,2018-08-07,5
