,subject_id,Week,Date,Score
0,A10,0,2018-07-31,48
1,A10,0,2018-08-01,46
2,A10,0,2018-08-02,43
3,A10,0,2018-08-03,43
4,A10,4,2018-08-21,16
5,A10,5,2018-08-27,0
6,A10,5,2018-08-27,0
7,A10,5,2018-08-28,2
8,A10,5,2018-08-29,0
9,A10,6,2018-08-30,0
10,A10,6,2018-08-31,0
11,A10,7,2018-09-04,0
12,A10,7,2018-09-05,0
13,A10,7,2018-09-06,0
14,A10,7,2018-09-07,0
15,A10,8,2018-09-10,0
16,A10,8,2018-09-11,0
17,A10,8,2018-09-12,0
18,A10,8,2018-09-13,0
19,A10,9,2018-09-14,0
20,A10,9,2018-09-17,0
21,A10,9,2018-09-18,0
22,A10,10,2018-09-19,1
23,A10,10,2018-09-20,0
24,A10,10,2018-09-21,0
